⊙ 词汇	♠释义	例句	=► 词根词缀
⊙ imitate	♠v. 模仿, 效仿; 伪造, 仿造		=► 前缀 “im-”（此处为 “in-” 的变体，表 “进入…… 状态”，加强语气），词根 “itat-”（模仿，源自拉丁语 “imitari”），后缀 “-e”（动词后缀），指模仿
⊙ mimic	♠v. 模仿; 戏仿		=► 词根 “mim-”（模仿，源自希腊语 “mimos”，指 “模仿者、喜剧演员”），后缀 “-ic”（形容词或名词后缀，此处可作形容词 “模仿的” 或名词 “模仿者”）
⊙ simulate	♠v. 模拟; 假装, 冒充		=► 前缀 “sim-”（相似，相同，源自拉丁语 “similis”），词根 “ul-”（辅助构词，无实义），后缀 “-ate”（动词后缀，表 “使…… 成为”），即使变得相似，指模拟
⊙ circus	♠n. 马戏团; 圆形广场		=► 无明显可拆分的常见词根词缀，源自拉丁语 “circus”（圆圈、圆形场地），属于借词，直接指圆形的马戏场，后引申为 “马戏团”
⊙ magic	♠n. 魔术; 魔法		=► 词根 “mag-”（魔法师，源自希腊语 “magos”，原指 “波斯的祭司、智者”，后引申为 “魔法师”），后缀 “-ic”（形容词或名词后缀，此处可作形容词 “魔法的” 或名词 “魔法”）
⊙ drama	♠n. 戏, 剧, 戏剧艺术		=► 无明显可拆分的常见词根词缀，源自希腊语 “drama”（动作、戏剧，源自 “dran”，意为 “做、表演”），属于借词，直接指戏剧
⊙ concert	♠n. 音乐会		=► 前缀 “con-”（共同，一起），词根 “cert-”（确定、达成一致，源自拉丁语 “certus”），后缀 “-t”（名词后缀），即一起达成一致的表演，指音乐会
⊙ symphony	♠n. 交响乐		=► 前缀 “sym-”（共同，一起，源自希腊语 “syn-”），词根 “phon-”（声音，源自希腊语 “phone”），后缀 “-y”（名词后缀，表 “…… 的事物”），即共同的声音，指交响乐
⊙ orchestra	♠n. 管弦乐队		=► 无明显可拆分的常见词根词缀，源自希腊语 “orkhestra”（古希腊剧场中合唱队的位置，后指乐队演奏的位置），属于借词，后引申为 “管弦乐队”
⊙ ballet	♠n. 芭蕾舞; 芭蕾舞剧		=► 无明显可拆分的常见词根词缀，源自法语 “ballet”，源自意大利语 “balletto”（小舞蹈，“balletto” 是 “balle” 的指小词，“balle” 意为 “舞蹈”），属于借词，指芭蕾舞
⊙ opera	♠n. 歌剧		=► 无明显可拆分的常见词根词缀，源自意大利语 “opera”（工作、作品，特指音乐作品），属于借词，后专指 “歌剧”
⊙ comedy	♠n. 喜剧		=► 前缀 “com-”（此处无实义，为构词前缀，源自希腊语 “kom-”），词根 “edy-”（歌，源自希腊语 “ode”），后缀 “-y”（名词后缀），原指 “狂欢歌”，后引申为 “喜剧”
⊙ tragedy	♠n. 悲剧		=► 前缀 “tra-”（此处为 “tri-” 的变体，源自希腊语 “trag-”，与 “goat”（山羊）相关，古希腊悲剧最初与山羊祭祀有关），词根 “edy-”（歌，源自希腊语 “ode”），后缀 “-y”（名词后缀），原指 “山羊之歌”，后引申为 “悲剧”
⊙ animation	♠n. 动画片; 动画制作		=► 前缀 “anim-”（生命、气息，源自拉丁语 “anima”），后缀 “-ation”（名词后缀，表 “…… 的状态或过程”），即使有生命的状态，指动画
⊙ film	♠n. 影片; 胶卷		=► 无明显可拆分的常见词根词缀，源自中古英语 “filme”（薄膜、薄片），后引申为 “胶片”“电影”，属于词义演变而来的词
⊙ movie	♠n. 电影; 电影院		=► 词根 “mov (e)”（移动），后缀 “-ie”（名词指小词或表 “相关事物”，此处表 “移动的影像”），即移动的画面，指电影
⊙ X-rated	♠adj. X级的, 青少年不宜的		=► 词根 “X”（代表特定评级符号），后缀 “-rated”（形容词后缀，表 “被评级为…… 的”），指被评为 X 级的（含色情、暴力等不适内容）
⊙ artist	♠n. 艺术家		=► 词根 “art”（艺术），后缀 “-ist”（表示人，指从事艺术工作的人）
⊙ craftsman	♠n. 工匠, 工艺师		=► 词根 “craft”（手艺、工艺），后缀 “-sman”（表示人，指掌握手艺的人，“-s-” 为连接字母）
⊙ painter	♠n. 画家; 油漆匠		=► 词根 “paint”（绘画），后缀 “-er”（表示人，指从事绘画的人）
⊙ role	♠n. 角色; 作用; 职能		=► 无明显可拆分的常见词根词缀，源自法语 “rôle”（滚动、角色，原指 “剧本中角色的台词卷轴”），属于借词，后引申为 “角色”
⊙ scene	♠n. 景色; 现场; 场面; 镜头		=► 无明显可拆分的常见词根词缀，源自希腊语 “skene”（帐篷、舞台布景），属于借词，后引申为 “场景、场面”
⊙ stage	♠n. 舞台; 阶段		=► 无明显可拆分的常见词根词缀，源自拉丁语 “statio”（站立的地方、位置），后演变为 “stage”，指舞台
⊙ gallery	♠n. 美术馆		=► 无明显可拆分的常见词根词缀，源自意大利语 “galleria”（走廊、长廊），后引申为 “画廊、美术馆”，属于借词
⊙ exhibition	♠n. 展览会; 展览; 展览品; 展示		=► 前缀 “ex-”（向外，出），词根 “hibit-”（拿，持，源自拉丁语 “habere”，过去分词词干 “hibit-”），后缀 “-ion”（名词后缀，表 “…… 的行为或场所”），即向外拿出来展示的行为或场所，指展览、展览会
⊙ aesthetic	♠adj. 审美的 n. 审美观		=► 词根 “aesthet-”（感觉、感知，源自希腊语 “aisthetikos”），后缀 “-ic”（形容词后缀，表 “与…… 相关的”），指与美学、审美相关的
⊙ collect	♠v. 收集; 收藏		=► 前缀 “col-”（共同，一起，“com-” 的变体，后接 “l” 时用 “col-”），词根 “lect-”（收集、挑选，源自拉丁语 “legere”），即一起收集，指收集
⊙ select	♠v. 选择, 挑选 adj. 精选的		=► 前缀 “se-”（分开，分离），词根 “lect-”（挑选，源自拉丁语 “legere”），即分开挑选，指选择、挑选
⊙ opt	♠v. 选择		=► 无明显可拆分的常见词根词缀，源自拉丁语 “optare”（希望、选择），属于单根词，指选择
⊙ photograph	♠n. 照片, 相片		=► 前缀 “photo-”（光，源自希腊语 “phos”），词根 “graph-”（书写、记录，源自希腊语 “graphein”），即用光来记录，指照片、摄影
⊙ portrait	♠n. 肖像, 半身画像		=► 前缀 “por-”（向前，向外，“pro-” 的变体），词根 “tra-”（拉，拖，源自拉丁语 “trahere”，此处 “port-” 为 “trahere” 的变体 “portare”，意为 “携带、运送”，引申为 “呈现”），后缀 “-it”（名词后缀），即向前呈现出来的形象，指肖像、画像
⊙ painting	♠n. 油画, 绘画; 作品		=► 词根 “paint”（绘画），后缀 “-ing”（名词后缀，表 “…… 的行为或成果”），指绘画作品或绘画行为
⊙ sculpture	♠n. 雕塑		=► 词根 “sculpt-”（雕刻，源自拉丁语 “sculpere”），后缀 “-ure”（名词后缀，表 “…… 的行为或成果”），指雕刻作品或雕刻行为
⊙ draw	♠v. 画, 拉; 拔出		=► 无明显可拆分的常见词根词缀，源自中古英语 “drawen”，属于单根词，指绘画、拉拽
⊙ sketch	♠n. 素描, 速写, 草图 v. 画素描, 画速写, 画草图		=► 无明显可拆分的常见词根词缀，源自荷兰语 “schets”（草图、速写），属于借词，指草图、速写
⊙ depict	♠v. 描述, 描写; 描绘		=► 前缀 “de-”（向下，加强语气），词根 “pict-”（绘画，源自拉丁语 “pingere”，过去分词词干 “pict-”），即用力绘画出来，指描绘、描述
⊙ describe	♠v. 描述, 形容		=► 前缀 “de-”（向下，加强语气），词根 “scrib-”（书写，源自拉丁语 “scribere”），即用力书写出来，指描述
⊙ carve	♠v. 雕刻; 切下		=► 无明显可拆分的常见词根词缀，源自中古英语 “carven”，属于单根词，指雕刻、切割
⊙ improvise	♠v. 即兴创作; 临时做		=► 前缀 “im-”（不，无，“in-” 的变体，后接 “m” 时用 “im-”），词根 “provis-”（准备，源自拉丁语 “providere”，“provis-” 为 “providere” 的过去分词词干，意为 “预先看见、准备”），后缀 “-e”（动词后缀），即没有预先准备，指即兴创作
⊙ musical	♠adj. 音乐的; 悦耳的		=► 词根 “music”（音乐），后缀 “-al”（形容词后缀，表 “与…… 相关的”），指与音乐相关的
⊙ classical	♠adj. 古典的, 传统的		=► 词根 “classic”（经典的、古典的，源自拉丁语 “classicus”，原指 “最高等级的公民”，后引申为 “优秀的、经典的”），后缀 “-al”（形容词后缀，加强 “经典的” 含义），指古典的、经典的
⊙ jazz	♠n. 爵士乐, 爵士舞		=► 无明显可拆分的常见词根词缀，源自非洲语言或美国黑人英语，属于外来词，专指爵士乐
⊙ rock	♠n. 摇滚乐; 岩石		=► 无明显可拆分的常见词根词缀，源自英语 “rock”（岩石、摇晃），后引申为 “摇滚乐”（因音乐节奏强烈如摇晃），属于词义演变词
⊙ hip-hop	♠n. 嘻哈文化		=► 无明显可拆分的常见词根词缀，属于音译兼意译的外来词（源自美国黑人英语），专指嘻哈音乐 / 文化，由 “hip”（臀部）和 “hop”（跳跃）组合，模拟舞蹈动作，无传统词根词缀
⊙ pop	♠n. 流行音乐, 流行乐曲		=► 词根 “pop”（流行的，为 “popular” 的缩写），属于缩写词，指流行音乐
⊙ lyric	♠n. 抒情词 adj. 抒情的		=► 词根 “lyr-”（竖琴，源自希腊语 “lyra”），后缀 “-ic”（形容词或名词后缀，此处可作形容词 “抒情的” 或名词 “歌词”），原指 “用竖琴伴奏的抒情诗”，后引申为 “歌词”
⊙ band	♠n. 乐队; 带子; (数值)范围		=► 无明显可拆分的常见词根词缀，源自中古英语 “band”（带子、群体），后引申为 “乐队”（指一群演奏音乐的人），属于词义演变词
⊙ solo	♠n. 独奏, 独唱 adj. 独奏的, 独唱的, 单独的		=► 无明显可拆分的常见词根词缀，源自意大利语 “solo”（单独的），属于借词，可作形容词 “单独的”、副词 “单独地” 或名词 “独奏、独唱”
⊙ melody	♠n. 乐曲; 旋律; 好听的声音		=► 前缀 “mel-”（甜的，源自希腊语 “melos”，原指 “歌曲、旋律”，含 “悦耳的” 含义），词根 “ody-”（歌，源自希腊语 “ode”），后缀 “-y”（名词后缀），指悦耳的歌曲，即旋律
⊙ rhythm	♠n. 节奏, 韵律		=► 无明显可拆分的常见词根词缀，源自希腊语 “rhythmos”（秩序、节奏），属于借词，指节奏
⊙ tone	♠n. 音色; 声调; 腔调		=► 无明显可拆分的常见词根词缀，源自拉丁语 “tonus”（声音、音调），属于借词，指音调、语气
⊙ tune	♠n. 曲调; 短乐曲 v. 调试		=► 无明显可拆分的常见词根词缀，源自中古英语 “tune”（音调、曲调），属于单根词，指曲调、调子
⊙ disc	♠n. 唱片, 光碟; 磁盘		=► 无明显可拆分的常见词根词缀，源自拉丁语 “discus”（圆盘、铁饼），属于借词，后引申为 “唱片”（因形状为圆形）
⊙ piano	♠n. 钢琴		=► 无明显可拆分的常见词根词缀，源自意大利语 “piano”（柔和的，为 “pianoforte” 的缩写，“pianoforte” 意为 “强弱琴”，指可调节音量的琴），属于缩写借词，指钢琴
⊙ violin	♠n. 小提琴		=► 词根 “viol-”（小提琴类乐器，源自意大利语 “viola”），后缀 “-in”（名词指小词，表 “小的……”），指小提琴（比中提琴 “viola” 小）
⊙ cello	♠n. 大提琴		=► 无明显可拆分的常见词根词缀，源自意大利语 “violoncello” 的缩写（“violoncello” 意为 “大提琴”，“cello” 为简称），属于缩写借词，指大提琴
⊙ guitar	♠n. 吉他		=► 无明显可拆分的常见词根词缀，源自西班牙语 “guitarra”，源自阿拉伯语 “qītāra”，属于借词，指吉他
⊙ harmonica	♠n. 口琴		=► 词根 “harmon-”（和谐、和声，源自希腊语 “harmonia”），后缀 “-ica”（名词后缀，表 “与…… 相关的乐器”），指能发出和声的乐器，即口琴
⊙ trumpet	♠n. 喇叭, 小号		=► 无明显可拆分的常见词根词缀，源自法语 “trompette”（小号，“trompe” 意为 “喇叭”，“-ette” 为指小词），属于借词，指小号
⊙ drum	♠n. 鼓; 大桶		=► 无明显可拆分的常见词根词缀，源自中古英语 “drum”，属于单根词，指鼓
⊙ flute	♠n. 长笛		=► 无明显可拆分的常见词根词缀，源自法语 “flûte”，属于借词，指长笛
⊙ competition	♠n. 竞赛; 比赛		=► 前缀 “com-”（共同，一起），词根 “pet-”（追求、竞争，源自拉丁语 “petere”），后缀 “-ition”（名词后缀，表 “…… 的行为或状态”），即一起追求（同一目标）的行为，指竞争
⊙ tournament	♠n. 锦标赛		=► 无明显可拆分的常见词根词缀，源自古法语 “torneiement”（骑士比武大会，“torneier” 意为 “旋转、比武”），属于借词，指锦标赛、联赛
⊙ Olympic	♠adj. 奥林匹克运动的 n. [the ~s]奥林匹克运动会		=► 词根 “Olymp-”（奥林匹斯山，源自希腊语 “Olympos”，古希腊神话中众神居住的地方，也是古代奥运会举办地），后缀 “-ic”（形容词后缀，表 “与…… 相关的”），指与奥林匹克相关的
⊙ sponsor	♠n. 发起人; 主办人; 赞助人 v. 发起; 主办; 赞助		=► 前缀 “spon-”（承诺、担保，源自拉丁语 “spondere”），后缀 “-sor”（名词后缀，表 “做…… 的人”），指做出担保（提供资金等）的人，即赞助商
⊙ patron	♠n. 赞助人; 顾客, 老主顾		=► 词根 “patr-”（父亲，源自拉丁语 “pater”），后缀 “-on”（名词后缀，表 “…… 的人”），原指 “像父亲一样提供支持的人”，指赞助人、资助人
⊙ athlete	♠n. 运动员; 田径运动员		=► 无明显可拆分的常见词根词缀，源自希腊语 “athletes”（运动员，源自 “athlein”，意为 “竞争、参赛”），属于借词，指运动员
⊙ champion	♠n. 冠军, 第一名 v. 拥护, 支持		=► 词根 “camp-”（战场，源自拉丁语 “campus”），后缀 “-ion”（名词后缀，表 “…… 的人”），原指 “战场上的勇士”，后引申为 “冠军”
⊙ spectator	♠n. 观众		=► 前缀 “spec-”（看，源自拉丁语 “specere”），后缀 “-tator”（名词后缀，表 “做…… 的人”），指观看的人，即观众
⊙ volunteer	♠n. 志愿者 v. 自愿做		=► 词根 “volunt-”（自愿的，源自拉丁语 “voluntas”，意为 “意志、意愿”），后缀 “-eer”（名词后缀，表 “做…… 的人”），指自愿做事的人，即志愿者
⊙ famous	♠adj. 著名的, 出名的		=► 词根 “fam-”（名声、传闻，源自拉丁语 “fama”），后缀 “-ous”（形容词后缀，表 “充满…… 的”），指充满名声的，即著名的
⊙ well-known	♠adj. 众所周知的, 出名的		=► 词根 “well”（好地）+ 词根 “known”（被知道的，“know” 的过去分词），合成形容词，指被很好地知道的，即著名的
⊙ energetic	♠adj. 充满活力的, 精力充沛的		=► 词根 “energ-”（能量，源自希腊语 “energeia”），后缀 “-etic”（形容词后缀，表 “与…… 相关的、具有…… 性质的”），指具有能量的，即精力充沛的
⊙ vigorous	♠adj. 充满活力的; 活跃的, 积极的		=► 词根 “vig-”（活力、生命，源自拉丁语 “vigor”），后缀 “-ous”（形容词后缀，表 “充满…… 的”），指充满活力的，即精力旺盛的
⊙ stadium	♠n. 体育场, 运动场		=► 无明显可拆分的常见词根词缀，源自希腊语 “stadium”（跑道、体育场，源自 “staidion”，指 “古希腊的赛跑场地”），属于借词，指体育场
⊙ gym	♠n. 体育活动; 体育馆; 健身房		=► 词根 “gym”（为 “gymnasium” 的缩写，“gymnasium” 源自希腊语 “gymnasion”，意为 “体育场馆、健身房”），属于缩写词，指健身房
⊙ training	♠n. 训练, 锻炼; 培训		=► 词根 “train”（训练），后缀 “-ing”（名词后缀，表 “…… 的行为或过程”），指训练
⊙ exercise	♠n. 锻炼, 运动; 习题, 练习 v. 锻炼		=► 前缀 “ex-”（向外，出），词根 “erc-”（保持、练习，源自拉丁语 “exercere”），后缀 “-ise”（动词或名词后缀，此处可作动词 “锻炼” 或名词 “锻炼”），即向外练习、保持（身体状态），指锻炼
⊙ indoor	♠adj. 室内的		=► 前缀 “in-”（在…… 里面），词根 “door”（门，代指 “室内空间”），后缀 “-r”（形容词后缀，表 “在…… 里面的”），指在室内的
⊙ outdoor	♠adj. 室外的, 户外的		=► 前缀 “out-”（在…… 外面），词根 “door”（门，代指 “室外空间”），后缀 “-r”（形容词后缀，表 “在…… 外面的”），指在室外的
⊙ motion	♠v. 做动作, 示意		=► 词根 “mot-”（移动，源自拉丁语 “movere”），后缀 “-ion”（名词后缀，表 “…… 的状态或行为”），指移动的状态或行为，即运动
⊙ mobile	♠adj. 可移动的; 流动的		=► 词根 “mob-”（移动，源自拉丁语 “movere”，过去分词词干 “mot-” 的变体 “mob-”），后缀 “-ile”（形容词后缀，表 “能…… 的”），指能移动的，即可移动的
⊙ movement	♠n. 活动; 运动; 移动		=► 词根 “move”（移动），后缀 “-ment”（名词后缀，表 “…… 的行为或过程”），指移动的行为或过程，即运动
⊙ yoga	♠n. 瑜珈		=► 无明显可拆分的常见词根词缀，源自梵语 “yoga”（结合、瑜伽，指身心结合的修行方式），属于借词，指瑜伽
⊙ sprawl	♠v. 伸开四肢坐着(或躺着); 延伸, 蔓延 n. 城市杂乱无序地扩展地区		=► 无明显可拆分的常见词根词缀，源自中古英语 “sprelien”（伸展、蔓延），属于单根词，指伸开四肢躺坐、蔓延
⊙ stretch	♠v. 伸展; 伸长		=► 无明显可拆分的常见词根词缀，源自中古英语 “strecchen”，属于单根词，指伸展、拉伸
⊙ strain	♠v. 拉紧; 拉伤, 扭伤 n. 张力, 拉力; 紧张		=► 无明显可拆分的常见词根词缀，源自拉丁语 “stringere”（拉紧、收缩），属于借词演变而来，指拉紧、拉伤
⊙ chess	♠n. 国际象棋		=► 无明显可拆分的常见词根词缀，源自波斯语 “shāh”（国王），经由阿拉伯语、法语传入英语，属于借词，指国际象棋
⊙ badminton	♠n. 羽毛球运动		=► 词根 “Badminton”（英国格洛斯特郡的一座庄园名，羽毛球运动最早在此开展），属于专有名词转化，无传统词根词缀，指羽毛球
⊙ golf	♠n. 高尔夫球		=► 无明显可拆分的常见词根词缀，起源尚无定论，可能源自荷兰语 “kolf”（球棒、击球游戏），属于借词，指高尔夫球
⊙ billiards	♠n. 台球, 桌球, 弹子球		=► 无明显可拆分的常见词根词缀，源自法语 “bille”（小球），后缀 “-ards”（名词后缀，表 “…… 的游戏”），指用小球进行的游戏，即台球
⊙ soccer	♠n. 足球		=► 词根 “soc”（为 “association” 的缩写，“association football” 意为 “英式足球”，“soccer” 是 “association” 的口语化缩写），属于缩写词，指足球
⊙ tennis	♠n. 网球		=► 无明显可拆分的常见词根词缀，源自法语 “tenez”（接住，为打球时的吆喝声），属于借词，指网球
⊙ volleyball	♠n. 排球		=► 词根 “volley”（截击、凌空球，指球不落地直接击打）+ 词根 “ball”（球），合成词，指打凌空球的运动，即排球
⊙ hockey	♠n. 曲棍球; 冰球		=► 无明显可拆分的常见词根词缀，源自法语 “hocquet”（曲棍球棒，原指 “牧羊人的拐杖”），属于借词，指曲棍球
⊙ cricket	♠n. 板球; 蟋蟀		=► 无明显可拆分的常见词根词缀，起源尚无定论，可能源自古法语 “criquet”（小棍），属于借词，指板球
⊙ goal	♠n. 球门; 进球得分; 目的		=► 无明显可拆分的常见词根词缀，源自中古英语 “gol”（边界、目标），属于单根词，指目标、球门
⊙ bat	♠n. 球拍, 球棒, 球板		=► 无明显可拆分的常见词根词缀，源自中古英语 “bat”（球棒、蝙蝠），属于单根词，此处指球棒
⊙ racket	♠n. 球拍		=► 无明显可拆分的常见词根词缀，源自阿拉伯语 “rāhat”（手掌），经由法语传入英语，原指 “手掌”，后引申为 “球拍”（因用手掌挥动），属于借词演变词
⊙ kick	♠v. n. 踢		=► 无明显可拆分的常见词根词缀，源自中古英语 “kicken”，属于单根词，指踢
⊙ knock	♠v. 敲, 击; 撞		=► 无明显可拆分的常见词根词缀，源自中古英语 “knoken”，属于单根词，指敲、击打
⊙ flip	♠v. 掷; 快速翻动 adj. 随便的, 轻率的		=► 无明显可拆分的常见词根词缀，源自英语拟声词（模拟翻转、轻拍的声音），属于拟声词，指翻转、轻拍
⊙ pitch	♠v. 投, 掷 n. 球场; 投球		=► 无明显可拆分的常见词根词缀，源自中古英语 “picchen”（投掷、扎），属于单根词，此处指投掷（球）、球场
⊙ throw	♠v. 投, 掷, 抛, 扔		=► 无明显可拆分的常见词根词缀，源自中古英语 “throwen”，属于单根词，指扔、投掷
⊙ toss	♠v. 扔, 抛; 颠簸		=► 无明显可拆分的常见词根词缀，源自中古英语 “tossen”，属于单根词，指扔、抛
⊙ slide	♠v. 滑动; 逐渐降低 n. 滑行; 下跌		=► 无明显可拆分的常见词根词缀，源自中古英语 “sliden”，属于单根词，指滑动、滑行
⊙ slip	♠v. 滑跤; 滑落; 溜 n. 滑倒		=► 无明显可拆分的常见词根词缀，源自中古英语 “slippen”，属于单根词，指滑倒、滑落
⊙ glide	♠v. 滑动, 掠过 n. 滑行		=► 无明显可拆分的常见词根词缀，源自中古英语 “gliden”，属于单根词，指滑翔、滑动
⊙ tumble	♠v. 摔倒, 滚下		=► 无明显可拆分的常见词根词缀，源自中古英语 “tumbelen”（翻滚、跌倒），属于单根词，指翻滚、跌倒
⊙ ski	♠v. 滑雪 n. 滑雪板		=► 无明显可拆分的常见词根词缀，源自挪威语 “ski”（滑雪板），属于借词，指滑雪板、滑雪
⊙ skate	♠v. 滑冰		=► 无明显可拆分的常见词根词缀，源自荷兰语 “schaats”（冰鞋），属于借词，指冰鞋、滑冰
⊙ cycling	♠n. 骑自行车运动		=► 词根 “cycl (e)”（自行车，源自希腊语 “kyklos”，意为 “圆圈”），后缀 “-ing”（名词后缀，表 “…… 的运动或行为”），指骑自行车的运动，即骑行
⊙ dive	♠v. 跳水; 潜水; 俯冲		=► 无明显可拆分的常见词根词缀，源自中古英语 “diven”，属于单根词，指潜水、跳水
⊙ drift	♠v. 飘移, 漂流; 流浪, 漂泊		=► 无明显可拆分的常见词根词缀，源自中古英语 “driften”（推动、漂流），属于单根词，指漂流、漂移
⊙ jump	♠v. 跳; 暴涨; 跳过		=► 无明显可拆分的常见词根词缀，源自中古英语 “jumpen”，属于单根词，指跳、跳跃
⊙ leap	♠v. 跳, 跃 n. 跳跃		=► 无明显可拆分的常见词根词缀，源自中古英语 “lepen”，属于单根词，指跳跃、飞跃
⊙ plunge	♠v. 纵身投入; 狂跌; 投身 n. 跳水; 猛跌		=► 无明显可拆分的常见词根词缀，源自拉丁语 “plumbum”（铅，原指 “像铅一样沉重地落下”），属于借词演变词，指跳入、投入
⊙ spring	♠v. n. 跳, 跃		=► 无明显可拆分的常见词根词缀，源自中古英语 “springen”（跳跃、春天），属于单根词，此处指跳跃
⊙ hop	♠v. 跳上跳下; 单脚跳行; 齐足跳行		=► 无明显可拆分的常见词根词缀，源自中古英语 “hoppen”，属于单根词，指单脚跳、跳跃
⊙ bounce	♠v. 反弹, 弹起; 跳动		=► 无明显可拆分的常见词根词缀，源自英语拟声词（模拟物体反弹的声音），属于拟声词，指反弹、弹跳
⊙ tent	♠n. 帐篷		=► 无明显可拆分的常见词根词缀，源自拉丁语 “tendere”（伸展，指帐篷需要伸展搭建），属于借词演变词，指帐篷
⊙ camp	♠n. 营地; 阵营		=► 无明显可拆分的常见词根词缀，源自拉丁语 “campus”（原野、场地），属于借词，指营地、露营
⊙ picnic	♠n. 野餐; 进餐食物 v. 野营		=► 无明显可拆分的常见词根词缀，源自法语 “pique-nique”（野餐，为民间创造的词汇，无明确词根），属于借词，指野餐
⊙ hunt	♠n. 打猎; 搜寻 v. 猎取; 搜寻		=► 无明显可拆分的常见词根词缀，源自中古英语 “henten”（抓住、猎捕），属于单根词，指打猎、搜寻
⊙ race	♠n. 赛跑, 速度竞赛; 人种, 种族		=► 无明显可拆分的常见词根词缀，源自中古英语 “ras”（奔跑、比赛），属于单根词，此处指赛跑、比赛
⊙ marathon	♠n. 马拉松赛跑; 马拉松式的活动		=► 词根 “Marathon”（希腊地名 “马拉松”，源自希腊语 “Marathōn”，古代此处发生马拉松战役，士兵从马拉松跑到雅典报信，后成为长跑项目名），属于专有名词转化，无传统词根词缀，指马拉松
⊙ pedestrian	♠n. 步行者, 行人		=► 前缀 “ped-”（脚，源自拉丁语 “pes”），词根 “estr-”（道路，源自拉丁语 “via” 的变体，此处 “pedestrian” 字面意为 “用脚在道路上行走的人”），后缀 “-ian”（名词后缀，表 “…… 的人”），指行人
⊙ pace	♠n. 步速, 速度; 步调, 节奏 v. 来回踱路		=► 无明显可拆分的常见词根词缀，源自拉丁语 “passus”（一步的距离），属于借词，指步伐、速度
⊙ step	♠n. 步伐; 步骤		=► 无明显可拆分的常见词根词缀，源自中古英语 “steppen”，属于单根词，指脚步、台阶
⊙ excursion	♠n. 远足, 短程旅行		=► 前缀 “ex-”（向外，出），词根 “curs-”（跑，源自拉丁语 “currere”），后缀 “-ion”（名词后缀，表 “…… 的行为或过程”），即向外跑的过程，指短途旅行、远足
⊙ cruise	♠v. 乘船浏览; 以平衡的速度行驶		=► 无明显可拆分的常见词根词缀，源自荷兰语 “kruisen”（交叉、巡航），属于借词，指巡航、乘船游览
⊙ trip	♠v. 绊倒 n. 旅行; 绊倒		=► 无明显可拆分的常见词根词缀，源自中古英语 “trippen”（绊倒、旅行），属于单根词，此处指旅行
⊙ vacation	♠v. 休假 n. 假期; 休假		=► 前缀 “vac-”（空的，源自拉丁语 “vacare”，意为 “空闲、空出时间”），后缀 “-ation”（名词后缀，表 “…… 的时间或状态”），指空闲的时间，即假期、休假
⊙ hike	♠v. n. 徒步旅行, 远足		=► 无明显可拆分的常见词根词缀，源自英语方言 “hike”（步行、远足），属于单根词，指徒步旅行、远足
⊙ jog	♠v. 慢跑		=► 无明显可拆分的常见词根词缀，源自英语拟声词（模拟慢跑时的脚步声），属于拟声词，指慢跑
⊙ stride	♠v. 大步走, 阔步行走		=► 无明显可拆分的常见词根词缀，源自中古英语 “striden”，属于单根词，指大步走、步伐
⊙ wander	♠v. 漫步, 闲逛; 走神, 开小差		=► 无明显可拆分的常见词根词缀，源自中古英语 “wandren”，属于单根词，指漫游、闲逛
⊙ linger	♠v. 逗留, 流连; 继续存留		=► 无明显可拆分的常见词根词缀，源自中古英语 “lenger”（停留、拖延），属于单根词，指徘徊、逗留
⊙ lag	♠v. 落后 n. 间隔, 时间差		=► 无明显可拆分的常见词根词缀，源自中古英语 “laggen”，属于单根词，指落后、滞后
⊙ climb	♠v. 攀登, 爬		=► 无明显可拆分的常见词根词缀，源自中古英语 “climben”，属于单根词，指攀登、攀爬
⊙ pull	♠v. 拉, 拖, 扯; 划(小船)		=► 无明显可拆分的常见词根词缀，源自中古英语 “pullen”，属于单根词，指拉、拖
⊙ drag	♠v. 拖, 拉, 拽		=► 无明显可拆分的常见词根词缀，源自中古英语 “draggen”，属于单根词，指拖、拉
⊙ bend	♠v. 俯身, 弯腰; 使弯曲		=► 无明显可拆分的常见词根词缀，源自中古英语 “benden”，属于单根词，指弯曲、折弯
⊙ bow	♠n. v. 鞠躬		=► 无明显可拆分的常见词根词缀，源自中古英语 “bowe”（弓、鞠躬），属于单根词，此处可指弓、鞠躬
⊙ Chapter-10 物品材料	♠		=►
⊙ 单词	♠解释		=►
⊙ stuff	♠n. 东西; 原料		=► 无明显可拆分的常见词根词缀，源自中古英语 “stuffen”（填充、材料），属于单根词，此处可指东西、材料或填充
⊙ item	♠n. 一件商品; 条; 条款		=► 无明显可拆分的常见词根词缀，源自拉丁语 “item”（同样、此外，原指清单中 “另一个项目”），属于借词，指项目、物品
⊙ merchandise	♠n. 商品		=► 词根 “merchand-”（商品、交易，源自拉丁语 “mercari”，意为 “交易、买卖”），后缀 “-ise”（名词后缀，表 “…… 的物品”），指用于交易的物品，即商品
⊙ souvenir	♠n. 纪念品		=► 无明显可拆分的常见词根词缀，源自法语 “souvenir”（回忆、纪念品，源自 “se souvenir”，意为 “记得”），属于借词，指纪念品
⊙ artefact	♠n. 人造物品; 手工艺品		=► 前缀 “ar-”（技艺、艺术，“art” 的变体），词根 “fact-”（制作，源自拉丁语 “facere”），后缀 “-t”（名词后缀），指用技艺制作的物品，即人工制品
